episode,total_steps,reward,rolling_reward_100,epsilon,loss
299,14898,0.0,1.88,0.910822,nan
300,14942,1.0,1.87,0.910612,nan
301,14976,0.0,1.79,0.910348,nan
302,15029,2.0,1.8,0.910144,nan
303,15085,2.0,1.81,0.909826,nan
304,15126,1.0,1.8,0.90949,nan
305,15178,2.0,1.79,0.9092439999999999,nan
306,15233,3.0,1.79,0.908932,nan
307,15304,4.0,1.81,0.908602,nan
308,15346,1.0,1.81,0.908176,nan
309,15387,1.0,1.82,0.907924,nan
310,15433,1.0,1.8,0.907678,nan
311,15478,1.0,1.8,0.907402,nan
312,15519,1.0,1.79,0.907132,nan
313,15551,0.0,1.77,0.906886,nan
314,15592,1.0,1.76,0.906694,nan
315,15645,2.0,1.78,0.906448,nan
316,15697,2.0,1.8,0.90613,nan
317,15751,3.0,1.82,0.905818,nan
318,15806,2.0,1.84,0.905494,nan
319,15840,0.0,1.81,0.905164,nan
320,15925,5.0,1.86,0.90496,nan
321,16007,5.0,1.9,0.90445,nan
322,16058,2.0,1.87,0.903958,nan
323,16130,4.0,1.9,0.903652,nan
324,16176,1.0,1.9,0.90322,nan
325,16217,1.0,1.9,0.902944,nan
326,16258,1.0,1.89,0.902698,nan
327,16307,2.0,1.89,0.902452,nan
328,16356,2.0,1.91,0.902158,nan
329,16388,0.0,1.91,0.901864,nan
330,16432,1.0,1.88,0.901672,nan
331,16466,0.0,1.87,0.901408,nan
332,16506,1.0,1.87,0.901204,nan
333,16551,1.0,1.86,0.900964,nan
334,16583,0.0,1.85,0.900694,nan
335,16650,3.0,1.88,0.900502,nan
336,16684,0.0,1.86,0.9001,nan
337,16743,3.0,1.88,0.899896,nan
338,16777,0.0,1.87,0.899542,nan
339,16817,1.0,1.87,0.899338,nan
340,16864,2.0,1.85,0.899098,nan
341,16912,2.0,1.85,0.8988160000000001,nan
342,16953,1.0,1.8,0.898528,nan
343,17006,2.0,1.8,0.898282,nan
344,17059,2.0,1.81,0.897964,nan
345,17099,1.0,1.81,0.8976459999999999,nan
346,17175,4.0,1.83,0.897406,nan
347,17239,3.0,1.84,0.89695,nan
348,17280,1.0,1.83,0.896566,nan
349,17315,0.0,1.81,0.89632,nan
350,17359,1.0,1.82,0.89611,nan
351,17394,0.0,1.82,0.895846,nan
352,17458,3.0,1.84,0.895636,nan
353,17513,3.0,1.86,0.8952519999999999,nan
354,17547,0.0,1.83,0.894922,nan
355,17599,2.0,1.79,0.894718,nan
356,17641,1.0,1.78,0.894406,nan
357,17688,2.0,1.78,0.894154,nan
358,17745,2.0,1.8,0.893872,nan
359,17803,3.0,1.79,0.8935299999999999,nan
360,17835,0.0,1.76,0.893182,nan
361,17869,0.0,1.75,0.89299,nan
362,17903,0.0,1.74,0.892786,nan
363,17967,3.0,1.74,0.892582,nan
364,18044,4.0,1.78,0.892198,nan
365,18089,1.0,1.79,0.891736,nan
366,18123,0.0,1.76,0.891466,nan
367,18188,3.0,1.76,0.891262,nan
368,18222,0.0,1.75,0.890872,nan
369,18257,0.0,1.75,0.890668,nan
370,18322,3.0,1.77,0.890458,nan
371,18382,3.0,1.77,0.890068,nan
372,18434,2.0,1.75,0.8897079999999999,nan
373,18475,1.0,1.75,0.889396,nan
374,18509,0.0,1.71,0.88915,nan
375,18544,0.0,1.71,0.888946,nan
376,18624,5.0,1.75,0.888736,nan
377,18669,1.0,1.71,0.888256,nan
378,18740,4.0,1.73,0.8879859999999999,nan
379,18790,2.0,1.74,0.88756,nan
380,18859,3.0,1.74,0.8872599999999999,nan
381,18921,4.0,1.76,0.886846,nan
382,18955,0.0,1.72,0.886474,nan
383,18995,1.0,1.72,0.88627,nan
384,19040,1.0,1.73,0.88603,nan
385,19103,3.0,1.74,0.88576,nan
386,19136,0.0,1.71,0.885382,nan
387,19177,1.0,1.72,0.885184,nan
