episode,total_steps,reward,rolling_reward_100,epsilon,loss
127,4453,0.0,0.31,0.9123058,0.003885739715769887
128,4477,0.0,0.31,0.9118306,0.007797985803335905
129,4501,0.0,0.31,0.9113554,0.0038745359051972628
130,4525,0.0,0.29,0.9108802,2.668791239557322e-05
131,4578,1.0,0.3,0.910405,0.003937599714845419
132,4602,0.0,0.3,0.9093556,0.00014613174425903708
133,4626,0.0,0.3,0.9088804,0.0038724227342754602
134,4650,0.0,0.29,0.9084052,0.0076843746937811375
135,4674,0.0,0.29,0.90793,0.003982192371040583
136,4776,2.0,0.31,0.9074548,3.471593663562089e-05
137,4800,0.0,0.31,0.9054352,4.797063593287021e-05
138,4824,0.0,0.31,0.90496,0.0076815965585410595
139,4848,0.0,0.31,0.9044848,0.003846032777801156
140,4872,0.0,0.31,0.9040096,0.0038412571884691715
141,4896,0.0,0.31,0.9035344,5.0613307394087315e-05
142,4967,1.0,0.32,0.9030592,0.003967613447457552
143,5017,1.0,0.31,0.9016534,5.3184681746643037e-05
144,5088,1.0,0.32,0.9006634,5.4765332606621087e-05
145,5112,0.0,0.3,0.8992576,0.011479058302938938
146,5183,1.0,0.31,0.8987824,0.003943443764001131
147,5207,0.0,0.31,0.8973766,6.0715970903402194e-05
148,5231,0.0,0.3,0.8969014,0.007861712947487831
149,5255,0.0,0.3,0.8964262,0.00799867045134306
150,5279,0.0,0.3,0.8959509999999999,2.9883063689339906e-05
151,5303,0.0,0.3,0.8954758,1.956817322934512e-05
152,5327,0.0,0.3,0.8950006,5.8519101003184915e-05
153,5351,0.0,0.3,0.8945254,9.020235302159563e-05
154,5375,0.0,0.29,0.8940502,0.0077390410006046295
155,5399,0.0,0.29,0.893575,0.00010005399963119999
156,5423,0.0,0.28,0.8930998,0.0038683225866407156
157,5447,0.0,0.28,0.8926246,0.00010240092524327338
158,5471,0.0,0.28,0.8921494,0.003933838102966547
159,5495,0.0,0.28,0.8916742,0.003835630603134632
160,5519,0.0,0.28,0.891199,0.003908947110176086
161,5543,0.0,0.28,0.8907238,0.007784625049680471
162,5567,0.0,0.26,0.8902486000000001,7.028516847640276e-05
163,5620,1.0,0.27,0.8897734,0.007698458153754473
164,5642,0.0,0.27,0.888724,0.003852756693959236
165,5666,0.0,0.26,0.8882884,0.0039088842459023
166,5690,0.0,0.26,0.8878132,0.0038977169897407293
167,5743,1.0,0.27,0.887338,0.011553898453712463
168,5765,0.0,0.26,0.8862886,0.007816283032298088
169,5789,0.0,0.26,0.885853,5.171800512471236e-05
170,5813,0.0,0.26,0.8853778,0.011491947807371616
171,5837,0.0,0.26,0.8849026,0.003890490159392357
172,5861,0.0,0.26,0.8844274,7.072270091157407e-05
173,5885,0.0,0.26,0.8839522,0.0076247272081673145
174,5909,0.0,0.26,0.883477,0.011528759263455868
175,5933,0.0,0.26,0.8830018,0.003945654723793268
176,5957,0.0,0.26,0.8825266,0.0040189353749156
177,5981,0.0,0.26,0.8820514,0.00010684587323339656
178,6005,0.0,0.25,0.8815762,0.003973383456468582
179,6029,0.0,0.25,0.881101,0.00011343347432557493
180,6082,1.0,0.25,0.8806258,0.003826012136414647
181,6106,0.0,0.25,0.8795764,0.007694331929087639
182,6130,0.0,0.25,0.8791012,0.003916232846677303
183,6154,0.0,0.25,0.878626,8.460086246486753e-05
184,6366,5.0,0.3,0.8781508,3.8777096051489934e-05
185,6390,0.0,0.3,0.8739532,0.004007430747151375
186,6414,0.0,0.3,0.873478,0.01185429748147726
187,6501,2.0,0.32,0.8730028,0.00406591547653079
188,6617,2.0,0.33,0.8712802,0.003960039932280779
189,6639,0.0,0.31,0.8689834,1.7455218767281622e-05
190,6663,0.0,0.31,0.8685478,5.902851989958435e-05
191,6687,0.0,0.31,0.8680726,0.003900332609191537
192,6711,0.0,0.31,0.8675974,7.744573667878285e-05
193,6735,0.0,0.3,0.8671222000000001,7.167634612414986e-05
194,6759,0.0,0.29,0.866647,0.00388562073931098
195,6783,0.0,0.29,0.8661718,0.007679465226829052
196,6807,0.0,0.29,0.8656966,6.59947472740896e-05
197,6831,0.0,0.29,0.8652214,0.007823200896382332
198,6855,0.0,0.29,0.8647462,0.003948552533984184
199,6954,2.0,0.31,0.864271,0.007706861011683941
200,6978,0.0,0.31,0.8623107999999999,6.154970469651744e-05
201,7049,1.0,0.32,0.8618356,0.0039056455716490746
202,7073,0.0,0.32,0.8604298,0.0077463132329285145
203,7097,0.0,0.32,0.8599546,0.003911394160240889
204,7121,0.0,0.32,0.8594794,0.003874278860166669
205,7145,0.0,0.32,0.8590042,3.5281165764899924e-05
206,7169,0.0,0.31,0.858529,0.007748521398752928
207,7193,0.0,0.29,0.8580538,0.003990730736404657
208,7217,0.0,0.29,0.8575786,0.003984486684203148
209,7241,0.0,0.29,0.8571034,0.0039713685400784016
210,7265,0.0,0.29,0.8566282000000001,0.007832408882677555
211,7289,0.0,0.29,0.8561529999999999,0.003933650907129049
212,7313,0.0,0.27,0.8556778,0.015566087327897549
213,7337,0.0,0.27,0.8552026,0.003899988252669573
214,7361,0.0,0.26,0.8547274,0.007833140902221203
215,7385,0.0,0.26,0.8542522,0.011445093899965286
216,7409,0.0,0.25,0.853777,0.0040153805166482925
217,7433,0.0,0.25,0.8533018,0.007539425510913134
218,7457,0.0,0.24,0.8528266,0.004025696776807308
219,7481,0.0,0.24,0.8523514,0.007739625871181488
220,7505,0.0,0.24,0.8518762,0.0003585318336263299
221,7604,2.0,0.26,0.851401,0.003980475943535566
222,7628,0.0,0.26,0.8494408,0.0002943399886135012
223,7652,0.0,0.25,0.8489656,0.003942624665796757
224,7676,0.0,0.24,0.8484904,0.00014911808830220252
225,7700,0.0,0.24,0.8480152,0.00011768448166549206
226,7724,0.0,0.24,0.84754,7.661965355509892e-05
227,7748,0.0,0.24,0.8470648000000001,5.146071271155961e-05
228,7772,0.0,0.24,0.8465895999999999,8.138950943248346e-05
229,7825,1.0,0.25,0.8461144,0.007920937612652779
230,7849,0.0,0.25,0.845065,0.003997578285634518
231,7873,0.0,0.24,0.8445898000000001,0.004022986628115177
232,7897,0.0,0.24,0.8441145999999999,0.007879393175244331
233,7921,0.0,0.24,0.8436394,0.007851069793105125
234,7945,0.0,0.24,0.8431642,0.007845142856240273
235,7969,0.0,0.24,0.842689,1.0973533790092915e-05
236,7993,0.0,0.22,0.8422138,3.105526411673054e-05
237,8017,0.0,0.22,0.8417386,3.8968544686213136e-05
238,8041,0.0,0.22,0.8412634,3.0236673410399817e-05
239,8065,0.0,0.22,0.8407882,2.1247940821922384e-05
240,8089,0.0,0.22,0.840313,0.003963127266615629
241,8142,1.0,0.23,0.8398378,0.00390274147503078
242,8159,0.0,0.22,0.8387884,2.4764345653238706e-05
243,8183,0.0,0.21,0.8384518,1.3741493603447452e-05
244,8256,1.0,0.21,0.8379766,0.003945501521229744
245,8280,0.0,0.21,0.8365312,4.576814535539597e-05
246,8304,0.0,0.2,0.836056,0.003919119946658611
247,8328,0.0,0.2,0.8355808,0.003941717557609081
248,8352,0.0,0.2,0.8351056,3.6378482036525384e-05
249,8470,3.0,0.23,0.8346304,0.003938107285648584
250,8494,0.0,0.23,0.832294,0.007876277901232243
251,8547,1.0,0.24,0.8318188,2.7721569495042786e-05
252,8619,1.0,0.25,0.8307694,0.011534325778484344
253,8717,2.0,0.27,0.8293438,0.0038438853807747364
254,8741,0.0,0.27,0.8274034,0.0077232359908521175
255,8765,0.0,0.27,0.8269282,0.00012149834947194904
256,8836,1.0,0.28,0.826453,0.00016446849622298032
257,8860,0.0,0.28,0.8250472,0.0001306970079895109
258,8884,0.0,0.28,0.824572,0.008037956431508064
259,8908,0.0,0.28,0.8240968,0.00012623581278603524
260,8932,0.0,0.28,0.8236216000000001,0.003935988061130047
261,8956,0.0,0.28,0.8231464,0.0039134761318564415
262,8980,0.0,0.28,0.8226712,0.0038961730897426605
263,9004,0.0,0.27,0.822196,0.003927246667444706
264,9028,0.0,0.27,0.8217208,0.0038963474798947573
265,9081,1.0,0.28,0.8212456,0.007818068377673626
266,9105,0.0,0.28,0.8201962,0.003966905176639557
267,9129,0.0,0.27,0.819721,0.003950091544538736
268,9153,0.0,0.27,0.8192458,0.003961623180657625
269,9177,0.0,0.27,0.8187706,9.192529978463426e-05
270,9201,0.0,0.27,0.8182954,0.00392101239413023
271,9254,1.0,0.28,0.8178202,0.0001028950500767678
272,9309,1.0,0.29,0.8167708,8.148806955432519e-05
273,9333,0.0,0.29,0.8156818,0.007907573133707047
274,9357,0.0,0.29,0.8152066,0.007900768890976906
275,9381,0.0,0.29,0.8147314,0.004002018831670284
276,9434,1.0,0.3,0.8142562,0.0040776957757771015
277,9458,0.0,0.3,0.8132068,0.004067903384566307
278,9482,0.0,0.3,0.8127316,0.003869321895763278
279,9506,0.0,0.3,0.8122564,0.0038839103654026985
280,9530,0.0,0.29,0.8117812,0.007759190630167723
281,9554,0.0,0.29,0.811306,0.003947718534618616
282,9607,1.0,0.3,0.8108308,0.00010346250201109797
283,9631,0.0,0.3,0.8097814,0.015626583248376846
284,9702,1.0,0.26,0.8093062,0.011681945994496346
285,9726,0.0,0.26,0.8079004,0.00012007579061901197
286,9750,0.0,0.26,0.8074252,0.007803380489349365
287,9774,0.0,0.24,0.8069500000000001,0.00777540635317564
288,9873,2.0,0.24,0.8064747999999999,0.011532876640558243
289,9946,1.0,0.25,0.8045146,0.007744696922600269
290,9970,0.0,0.25,0.8030692,0.0002229585952591151
291,9994,0.0,0.25,0.802594,0.00019634814816527069
292,10018,0.0,0.25,0.8021188,0.007737123407423496
293,10042,0.0,0.25,0.8021188,0.007737123407423496
